SpatialDim,ParentLocationCode,TimeDim,PercentHouseholdExp,TimeDimensionValue,Helper,2010 index Value Alc,2010 index Value All,2010 Price, 2010 *6M ,2010 UOM, 2010 USD conversion , Total USD All(/6M) ,Price per that year,Total Household Exp,Total Alc Market,Total Market Growth
SWE,EUR,2007,2.7,2007,SWE2007,93.66,93.57,1583426,"9,500,556,000,000.00",SEK,7.21,11412580.9,10678751.95,6.40725E+13,1.72996E+12,86.36
SWE,EUR,2008,2.7,2008,SWE2008,96.57,96.46,1583426,"9,500,556,000,000.00",SEK,7.21,11412580.9,11008575.53,6.60515E+13,1.78339E+12,89.25
JPN,WPR,2005,1.1,2005,JPN2005,#N/A,103.51,282864600,"1,697,187,600,000,000.00",JPY,87.779875,, $-   , $-   , $-   ,15.730125
SWE,EUR,2009,2.9,2009,SWE2009,98.66,98.54,1583426,"9,500,556,000,000.00",SEK,7.21,11412580.9,11245957.22,6.74757E+13,1.9568E+12,91.33
SWE,EUR,2010,1.9,2010,SWE2010,100,100,1583426,"9,500,556,000,000.00",SEK,7.21,11412580.9,11412580.9,6.84755E+13,1.30103E+12,92.79
SWE,EUR,2011,1.9,2011,SWE2011,99.73,101.64,1583426,"9,500,556,000,000.00",SEK,7.21,11412580.9,11599747.22,6.95985E+13,1.32237E+12,94.43
SWE,EUR,2012,1.9,2012,SWE2012,100.35,102.13,1583426,"9,500,556,000,000.00",SEK,7.21,11412580.9,11655668.87,6.9934E+13,1.32875E+12,94.92
COK,WPR,2005,1.2,2005,COK2005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
SWE,EUR,2013,1.9,2013,SWE2013,100.86,102.8,1583426,"9,500,556,000,000.00",SEK,7.21,11412580.9,11732133.16,7.03928E+13,1.33746E+12,95.59
SWE,EUR,2014,1.9,2014,SWE2014,102.86,103.9,1583426,"9,500,556,000,000.00",SEK,7.21,11412580.9,11857671.55,7.1146E+13,1.35177E+12,96.69
CZE,EUR,2010,1.1,2010,CZE2010,100,100,1912766,"11,476,596,000,000.00",CZK,19.1,36530483.26,36530483.26,2.19183E+14,2.41101E+12,80.9
CZE,EUR,2011,1.1,2011,CZE2011,102.69,101.77,1912766,"11,476,596,000,000.00",CZK,19.1,36530483.26,37177072.81,2.23062E+14,2.45369E+12,82.67
CZE,EUR,2012,1.1,2012,CZE2012,105.72,104.04,1912766,"11,476,596,000,000.00",CZK,19.1,36530483.26,38006314.78,2.28038E+14,2.50842E+12,84.94
USA,AMR,2005,0.9,2005,USA2005,90.39,90.43,"9,891,397.00","59,348,382,000,000.00",USD,1,, $-   , $-   , $-   ,89.43
CZE,EUR,2013,1.2,2013,CZE2013,109.2,104.93,1912766,"11,476,596,000,000.00",CZK,19.1,36530483.26,38331436.08,2.29989E+14,2.75986E+12,85.83
LBN,EMR,2005,0.1,2005,LBN2005,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A
CZE,EUR,2014,1.2,2014,CZE2014,110.95,105.57,1912766,"11,476,596,000,000.00",CZK,19.1,36530483.26,38565231.18,2.31391E+14,2.7767E+12,86.47
CAN,AMR,2005,2,2005,CAN2005,95.18,94.54,926815,"5,560,890,000,000.00",CAD,1.030163,, $-   , $-   , $-   ,93.509837
CZE,EUR,2015,1.2,2015,CZE2015,112.18,105.73,1912766,"11,476,596,000,000.00",CZK,19.1,36530483.26,38623679.95,2.31742E+14,2.7809E+12,86.63
CZE,EUR,2016,1.5,2016,CZE2016,115.7,106.31,1912766,"11,476,596,000,000.00",CZK,19.1,36530483.26,38835556.75,2.33013E+14,3.4952E+12,87.21
ISL,EUR,1990,3.4,1990,ISL1990,#N/A,#N/A,830308.1337,"4,981,848,802,200.00",ISK,122.24,101498250.4,#N/A,#N/A,#N/A,#N/A
MEX,AMR,2006,2,2006,MEX2006,84.81,82.08,8734843.839,"52,409,063,034,000.00",MXN,12.636008,, $-   , $-   , $-   ,69.443992
ISL,EUR,1991,3.2,1991,ISL1991,#N/A,#N/A,830308.1337,"4,981,848,802,200.00",ISK,122.24,101498250.4,#N/A,#N/A,#N/A,#N/A
