SpatialDim,ParentLocationCode,TimeDim,TimeDimensionValue,SPIRITS_PERCENT,BEER_PERCENT,WINE_PERCENT,OTHER_ALCOHOL_PERCENT,SPIRITS_PER_CAPITA,BEER_PER_CAPITA,WINE_PER_CAPITA,OTHER_ALCOHOL_PER_CAPITA,ALL_ALCOHOLS_PER_CAPITA,PercentHouseholdExp,SPIRITS_PRICE,BEER_PRICE,WINE_PRICE,FEMALE_L_PER_CAPITA,MALE_L_PER_CAPITA,BOTH_SEX_L_PER_CAPITA,Most_Popular_Type_of_Spirit
ARG,AMR,1983,1983,0,0,0,0,1.45,0.69,12.35,0,14.49,0,0,0,0,0,0,0,Fernet
ARG,AMR,1984,1984,0,0,0,0,1.45,0.86,11.53,0,13.84,0,0,0,0,0,0,0,Fernet
ARG,AMR,1985,1985,0,0,0,0,1.45,0.85,10.45,0,12.75,0,0,0,0,0,0,0,Fernet
ARG,AMR,1986,1986,0,0,0,0,1.45,1.14,10.3,0,12.89,0,0,0,0,0,0,0,Fernet
ARG,AMR,1987,1987,0,0,0,0,1.45,1.21,10.1,0,12.76,0,0,0,0,0,0,0,Fernet
ARG,AMR,1988,1988,0,0,0,0,0.72,1.06,9.71,0,11.49,0,0,0,0,0,0,0,Fernet
ARG,AMR,1989,1989,0,0,0,0,0.29,1.21,9.32,0,10.82,0,0,0,0,0,0,0,Fernet
ARG,AMR,1990,1990,0,0,0,0,0.86,1.38,9.42,0,11.66,0,0,0,0,0,0,0,Fernet
ARG,AMR,1991,1991,0,0,0,0,1.22,1.79,9.31,0,12.32,0,0,0,0,0,0,0,Fernet
ARG,AMR,1992,1992,0,0,0,0,1.3,2.18,8.61,0,12.09,0,0,0,0,0,0,0,Fernet
ARG,AMR,1993,1993,0,0,0,0,1.38,2.26,7.92,0,11.56,0,0,0,0,0,0,0,Fernet
ARG,AMR,1994,1994,0,0,0,0,1.38,2.43,7.13,0,10.94,0,0,0,0,0,0,0,Fernet
ARG,AMR,1995,1995,0,0,0,0,1.08,2.29,6.76,0,10.13,0,0,0,0,0,0,0,Fernet
ARG,AMR,1996,1996,0,0,0,0,1.15,2.38,6.4,0,9.93,0,0,0,0,0,0,0,Fernet
ARG,AMR,1997,1997,0,0,0,0,1.3,2.58,6.37,0,10.25,0,0,0,0,0,0,0,Fernet
ARG,AMR,1998,1998,0,0,0,0,0.9,2.44,5.87,0,9.21,0,0,0,0,0,0,0,Fernet
ARG,AMR,1999,1999,0,0,0,0,1.13,2.32,5.76,0,9.21,0,0,0,0,0,0,0,Fernet
ARG,AMR,2000,2000,0,0,0,0,1.04,3.58,10.6,0,15.36,0,0,0,0,0,0,0,Fernet
ARG,AMR,2001,2001,0,0,0,0,0.98,3.8,10.64,0,15.52,0,0,0,0,0,0,0,Fernet
ARG,AMR,2002,2002,0,0,0,0,0.82,4.16,10.56,0,15.62,0,0,0,0,0,0,0,Fernet
ARG,AMR,2003,2003,0,0,0,0,0.92,4.06,10.16,0,15.24,0,0,0,0,0,0,0,Fernet
ARG,AMR,2004,2004,0,0,0,0,1.04,4.08,10.06,0,15.26,0,0,0,0,0,0,0,Fernet
ARG,AMR,2005,2005,0,0,0,0,0.64,4.84,9.14,0,15.06,0,0,0,0,0,0,0,Fernet
ARG,AMR,2006,2006,0,0,0,0,0.6,5.14,9.24,0,15.5,0,0,0,0,0,0,0,Fernet
ARG,AMR,2007,2007,0,0,0,0,0.88,5.5,9.3,0,16.32,0,0,0,0,0,0,0,Fernet
ARG,AMR,2008,2008,0,0,0,0,0.88,6.32,8.9,0,16.82,0,0,0,0,0,0,0,Fernet
ARG,AMR,2009,2009,0,0,0,0,0.8,6.46,8.62,0,16.66,0,0,0,0,0,0,0,Fernet
ARG,AMR,2010,2010,0,0,0,0,0.9,6.64,7.82,0,16.3,0,0,0,0,0,0,0,Fernet
ARG,AMR,2011,2011,0,0,0,0,0.48,6.3,8.1,0,16.22,0,0,0,0,0,0,0,Fernet
ARG,AMR,2012,2012,0,0,0,0,0.5,6.42,8.08,0,16.7,0,32.57,0.76,1.24,0,0,0,Fernet
ARG,AMR,2013,2013,0,0,0,0,1.04,6.68,6.99,0,16.479999999999997,0,0,0,0,0,0,0,Fernet
ARG,AMR,2014,2014,0,0,0,0,1.12,6.72,6.44,0,15.86,0,0,0,0,0,0,0,Fernet
ARG,AMR,2015,2015,0,0,0,0,0.81,3.36,3.38,0,8.42,0,0,0,0,0,0,0,Fernet
ARM,EUR,1990,1990,0,0,0,0,1,0,2.18,0,3.18,4,0,0,0,0,0,0,0
ARM,EUR,1991,1991,0,0,0,0,0.85,0,2.13,0,2.98,2.8,0,0,0,0,0,0,0
ARM,EUR,1992,1992,0,0,0,0,1.23,0.01,1.28,0,2.52,2.8,0,0,0,0,0,0,0
ARM,EUR,1993,1993,0,0,0,0,1.26,0.01,1.43,0,2.71,3.4,0,0,0,0,0,0,0
ARM,EUR,1994,1994,0,0,0,0,3.03,0.05,1.26,0,4.34,2.2,0,0,0,0,0,0,0
ARM,EUR,1995,1995,0,0,0,0,2.43,0,0.55,0,2.98,1.7,0,0,0,0,0,0,0
ARM,EUR,1996,1996,0,0,0,0,2.42,0.07,0.43,0,2.92,1.3,0,0,0,0,0,0,0
ARM,EUR,1997,1997,0,0,0,0,2.45,0.14,0.24,0,2.84,0,0,0,0,0,0,0,0
ARM,EUR,1998,1998,0,0,0,0,1.43,0.3,0.17,0,1.9,0,0,0,0,0,0,0,0
ARM,EUR,1999,1999,0,0,0,0,1.67,0.18,0.31,0,2.16,1.9,0,0,0,0,0,0,0
ARM,EUR,2000,2000,0,0,0,0,5.04,0.36,0.48000000000000004,0,5.88,0,0,0,0,0,0,0,0
ARM,EUR,2001,2001,0,0,0,0,4.68,0.48,0.66,0,5.82,1.6,0,0,0,0,0,0,0
ARM,EUR,2002,2002,0,0,0,0,4.96,0.34,0.49,0,5.79,1.6,0,0,0,0,0,0,0
ARM,EUR,2003,2003,0,0,0,0,5.4,0.34,0.32,0,6.06,1.6,0,0,0,0,0,0,0
ARM,EUR,2004,2004,0,0,0,0,6.32,0.44,0.86,0,7.62,1.6,0,0,0,0,0,0,0
ARM,EUR,2005,2005,0,0,0,0,7.02,0.54,0.92,0,8.5,1.6,0,0,0,0,0,0,0
ARM,EUR,2006,2006,0,0,0,0,6.75,0.72,0.55,0,8.02,1.7,0,0,0,0,0,0,0
ARM,EUR,2007,2007,0,0,0,0,6.77,0.76,0.46,0,7.99,1.7,0,0,0,0,0,0,0
ARM,EUR,2008,2008,0,0,0,0,6.63,0.82,0.46,0,7.92,1.5,0,0,0,0,0,0,0
ARM,EUR,2009,2009,0,0,0,0,6.73,0.64,0.54,0,7.93,1.6,0,0,0,0,0,0,0
ARM,EUR,2010,2010,0,0,0,0,7.04,0.78,0.6,0,8.46,1.8,0,0,0,0,0,0,0
ARM,EUR,2011,2011,0,0,0,0,6.6899999999999995,0.66,0.78,0,8.149999999999999,1.8,0,0,0,0,0,0,0
ARM,EUR,2012,2012,0,0,0,0,6.58,0.5,0.63,0,7.73,1.5,69.38,0.77,3.11,0,0,0,0
ARM,EUR,2013,2013,0,0,0,0,6.4,0.84,0.26,0,7.51,1.4,0,0,0,0,0,0,0
ARM,EUR,2014,2014,0,0,0,0,6.57,1.02,0.26,0,7.880000000000001,1.3,0,0,0,0,0,0,0
ARM,EUR,2015,2015,0,0,0,0,3.16,0.46,0.2,0,3.84,1.4,0,0,0,0,0,0,0
ATG,AMR,1962,1962,0,0,0,0,2.84,0.29,0.09,0,3.22,0,0,0,0,0,0,0,Rum
ATG,AMR,1963,1963,0,0,0,0,3.18,0.3,0.1,0,3.58,0,0,0,0,0,0,0,Rum
ATG,AMR,1964,1964,0,0,0,0,3.24,0.38,0.02,0,3.64,0,0,0,0,0,0,0,Rum
ATG,AMR,1965,1965,0,0,0,0,3.14,0.35,0.01,0,3.5,0,0,0,0,0,0,0,Rum
ATG,AMR,1966,1966,0,0,0,0,4.15,0.72,0.02,0,4.89,0,0,0,0,0,0,0,Rum
ATG,AMR,1967,1967,0,0,0,0,4.03,0.78,0.03,0,4.84,0,0,0,0,0,0,0,Rum
ATG,AMR,1968,1968,0,0,0,0,3.89,0.82,0.04,0,4.75,0,0,0,0,0,0,0,Rum
ATG,AMR,1969,1969,0,0,0,0,3.9,1.12,0.03,0,5.05,0,0,0,0,0,0,0,Rum
ATG,AMR,1970,1970,0,0,0,0,4.68,1.17,0.04,0,5.89,0,0,0,0,0,0,0,Rum
ATG,AMR,1971,1971,0,0,0,0,4.6,1.17,0.03,0,5.8,0,0,0,0,0,0,0,Rum
ATG,AMR,1972,1972,0,0,0,0,1.72,1.13,0.03,0,2.88,0,0,0,0,0,0,0,Rum
ATG,AMR,1973,1973,0,0,0,0,4.36,1.09,0.07,0,5.52,0,0,0,0,0,0,0,Rum
ATG,AMR,1974,1974,0,0,0,0,1.29,0.64,0.08,0,2.01,0,0,0,0,0,0,0,Rum
ATG,AMR,1975,1975,0,0,0,0,1.14,0.71,0.05,0,1.91,0,0,0,0,0,0,0,Rum
ATG,AMR,1976,1976,0,0,0,0,2.38,0.57,0.06,0,3.01,0,0,0,0,0,0,0,Rum
ATG,AMR,1977,1977,0,0,0,0,0.34,0.19,0.2,0,0.73,0,0,0,0,0,0,0,Rum
ATG,AMR,1978,1978,0,0,0,0,0.11,0.32,0.23,0,0.66,0,0,0,0,0,0,0,Rum
ATG,AMR,1979,1979,0,0,0,0,0.44,0.28,0.22,0,0.94,0,0,0,0,0,0,0,Rum
ATG,AMR,1980,1980,0,0,0,0,0.17,0.92,0.58,0,1.67,0,0,0,0,0,0,0,Rum
ATG,AMR,1981,1981,0,0,0,0,1.74,1.12,0.85,0,3.72,0,0,0,0,0,0,0,Rum
ATG,AMR,1982,1982,0,0,0,0,1.9,1.14,0.13,0,3.17,0,0,0,0,0,0,0,Rum
ATG,AMR,1983,1983,0,0,0,0,2.76,1.31,0.26,0,4.33,0,0,0,0,0,0,0,Rum
ATG,AMR,1984,1984,0,0,0,0,3.05,1.71,0.65,0,5.41,0,0,0,0,0,0,0,Rum
ATG,AMR,1985,1985,0,0,0,0,1.63,1.69,0.26,0,3.57,0,0,0,0,0,0,0,Rum
ATG,AMR,1986,1986,0,0,0,0,1.55,1.69,0.31,0,3.55,0,0,0,0,0,0,0,Rum
ATG,AMR,1987,1987,0,0,0,0,1.55,1.79,0.34,0,3.68,0,0,0,0,0,0,0,Rum
ATG,AMR,1988,1988,0,0,0,0,1.73,1.37,0.78,0,3.87,0,0,0,0,0,0,0,Rum
ATG,AMR,1989,1989,0,0,0,0,1.56,1.83,1.3,0,4.69,0,0,0,0,0,0,0,Rum
ATG,AMR,1990,1990,0,0,0,0,2.1,2.04,1,0,5.13,0,0,0,0,0,0,0,Rum
ATG,AMR,1991,1991,0,0,0,0,1.42,1.92,1.08,0,4.42,0,0,0,0,0,0,0,Rum
ATG,AMR,1992,1992,0,0,0,0,1.39,1.99,1.12,0,4.5,0,0,0,0,0,0,0,Rum
ATG,AMR,1993,1993,0,0,0,0,1.27,1.94,1.09,0,4.3,0,0,0,0,0,0,0,Rum
ATG,AMR,1994,1994,0,0,0,0,2.9,0.94,0.93,0,4.77,0,0,0,0,0,0,0,Rum
ATG,AMR,1995,1995,0,0,0,0,3.6,0.97,0.51,0,5.08,0,0,0,0,0,0,0,Rum
ATG,AMR,1996,1996,0,0,0,0,3.98,0.94,0.52,0,5.44,0,0,0,0,0,0,0,Rum
ATG,AMR,1997,1997,0,0,0,0,3.98,0.79,0.68,0,5.45,0,0,0,0,0,0,0,Rum
ATG,AMR,1998,1998,0,0,0,0,4.07,0.64,0.64,0,5.34,0,0,0,0,0,0,0,Rum
ATG,AMR,1999,1999,0,0,0,0,4.18,0.69,0.78,0,5.64,0,0,0,0,0,0,0,Rum
ATG,AMR,2000,2000,0,0,0,0,8.3,3.8499999999999996,2.55,0,14.73,0,0,0,0,0,0,0,Rum
ATG,AMR,2001,2001,0,0,0,0,8.3,3.76,2.83,0,14.94,0,0,0,0,0,0,0,Rum
ATG,AMR,2002,2002,0,0,0,0,8.01,3.5300000000000002,2.7699999999999996,0,14.35,0,0,0,0,0,0,0,Rum
ATG,AMR,2003,2003,0,0,0,0,7.98,3.7300000000000004,2.51,0,14.27,0,0,0,0,0,0,0,Rum
ATG,AMR,2004,2004,0,0,0,0,6.95,3.94,2.86,0,14.55,0,0,0,0,0,0,0,Rum
ATG,AMR,2005,2005,0,0,0,0,7.16,4.84,4.12,0,16.96,0,0,0,0,0,0,0,Rum
ATG,AMR,2006,2006,0,0,0,0,7.22,5.28,4.17,0,17.27,0,0,0,0,0,0,0,Rum
ATG,AMR,2007,2007,0,0,0,0,7.2,5.9,3.14,0,16.83,0,0,0,0,0,0,0,Rum
ATG,AMR,2008,2008,0,0,0,0,7.22,5.99,2.66,0,16.509999999999998,0,0,0,0,0,0,0,Rum
ATG,AMR,2009,2009,0,0,0,0,6.57,5.87,2.74,0,15.72,0,0,0,0,0,0,0,Rum
ATG,AMR,2010,2010,0,0,0,0,6.49,5.76,2.8499999999999996,0,15.649999999999999,0,0,0,0,0,0,0,Rum
ATG,AMR,2011,2011,0,0,0,0,6.5600000000000005,5.6899999999999995,2.9299999999999997,0,15.75,0,0,0,0,0,0,0,Rum
ATG,AMR,2012,2012,0,0,0,0,7.109999999999999,5.59,3.21,0,16.48,0,0,0,0,0,0,0,Rum
ATG,AMR,2013,2013,0,0,0,0,7.65,5.51,3.36,0,17.08,0,0,0,0,0,0,0,Rum
ATG,AMR,2014,2014,0,0,0,0,7.36,5.42,3.68,0,17.009999999999998,0,0,0,0,0,0,0,Rum
ATG,AMR,2015,2015,0,0,0,0,3.84,2.79,1.55,0,8.45,0,0,0,0,0,0,0,Rum
AUS,WPR,1961,1961,0,0,0,0,1.19,6.36,0.88,0,9.16,0,0,0,0,0,0,0,Whisky
AUS,WPR,1962,1962,0,0,0,0,1.16,6.44,0.91,0,9.29,0,0,0,0,0,0,0,Whisky
AUS,WPR,1963,1963,0,0,0,0,1.26,7.52,0.96,0,9.74,0,0,0,0,0,0,0,Whisky
AUS,WPR,1964,1964,0,0,0,0,1.36,7.72,0.97,0,10.05,0,0,0,0,0,0,0,Whisky
AUS,WPR,1965,1965,0,0,0,0,1.19,7.69,1.05,0,9.94,0,0,0,0,0,0,0,Whisky
AUS,WPR,1966,1966,0,0,0,0,1.19,7.84,1.17,0,10.2,0,0,0,0,0,0,0,Whisky
AUS,WPR,1967,1967,0,0,0,0,1.32,8.1,1.3,0,10.72,0,0,0,0,0,0,0,Whisky
AUS,WPR,1968,1968,0,0,0,0,1.3,8.33,1.4,0,11.03,0,0,0,0,0,0,0,Whisky
AUS,WPR,1969,1969,0,0,0,0,1.45,8.51,1.52,0,11.49,0,0,0,0,0,0,0,Whisky
AUS,WPR,1970,1970,0,0,0,0,1.49,8.64,1.49,0,11.62,0,0,0,0,0,0,0,Whisky
AUS,WPR,1971,1971,0,0,0,0,1.54,8.64,1.51,0,11.69,0,0,0,0,0,0,0,Whisky
AUS,WPR,1972,1972,0,0,0,0,1.74,8.81,1.66,0,12.21,0,0,0,0,0,0,0,Whisky
AUS,WPR,1973,1973,0,0,0,0,1.76,9.57,1.87,0,13.19,0,0,0,0,0,0,0,Whisky
AUS,WPR,1974,1974,0,0,0,0,1.68,9.7,2.08,0,13.46,0,0,0,0,0,0,0,Whisky
AUS,WPR,1975,1975,0,0,0,0,1.61,9.42,2.18,0,13.21,0,0,0,0,0,0,0,Whisky
AUS,WPR,1976,1976,0,0,0,0,1.76,9.38,2.27,0,13.41,0,0,0,0,0,0,0,Whisky
AUS,WPR,1977,1977,0,0,0,0,1.83,9.35,2.36,0,13.54,0,0,0,0,0,0,0,Whisky
AUS,WPR,1978,1978,0,0,0,0,1.47,8.99,2.7,0,13.16,0,0,0,0,0,0,0,Whisky
AUS,WPR,1979,1979,0,0,0,0,1.38,9.02,2.83,0,13.23,0,0,0,0,0,0,0,Whisky
AUS,WPR,1980,1980,0,0,0,0,1.5,8.82,2.98,0,13.3,0,0,0,0,0,0,0,Whisky
AUS,WPR,1981,1981,0,0,0,0,1.58,8.76,3.12,0,13.46,0,0,0,0,0,0,0,Whisky
AUS,WPR,1982,1982,0,0,0,0,1.59,8.26,3.21,0,13.05,0,0,0,0,0,0,0,Whisky
AUS,WPR,1983,1983,0,0,0,0,1.51,7.95,3.3,0,12.76,0,0,0,0,0,0,0,Whisky
AUS,WPR,1984,1984,0,0,0,0,1.61,7.69,3.43,0,12.74,0,0,0,0,0,0,0,Whisky
AUS,WPR,1985,1985,0,0,0,0,1.7,7.73,3.47,0,12.89,0,0,0,0,0,0,0,Whisky
AUS,WPR,1986,1986,0,0,0,0,1.57,7.39,3.34,0,12.3,0,0,0,0,0,0,0,Whisky
AUS,WPR,1987,1987,0,0,0,0,1.65,7.5,3.31,0,12.45,0,0,0,0,0,0,0,Whisky
