Id_x,IndicatorCode_x,SpatialDimType_x,SpatialDim,ParentLocationCode_x,TimeDimType_x,ParentLocation_x,Dim1Type_x,Dim1_x,TimeDim_x,Dim2Type_x,Dim2_x,Dim3Type_x,Dim3_x,DataSourceDimType_x,DataSourceDim_x,Value_x,NumericValue_x,Low_x,High_x,Comments_x,Date_x,TimeDimensionValue,TimeDimensionBegin_x,TimeDimensionEnd_x,Id_y,IndicatorCode_y,SpatialDimType_y,TimeDimType_y,ParentLocationCode_y,ParentLocation_y,Dim1Type_y,Dim1_y,TimeDim_y,Dim2Type_y,Dim2_y,Dim3Type_y,Dim3_y,DataSourceDimType_y,DataSourceDim_y,Value_y,NumericValue_y,Low_y,High_y,Comments_y,Date_y,TimeDimensionBegin_y,TimeDimensionEnd_y
4539114,SA_0000001476,COUNTRY,FIN,EUR,YEAR,Europe,,,2000,,,,,DATASOURCE,DATASOURCE_SA_0000001476_FIN,5.4,5.4,,,,2018-10-25T13:07:07+02:00,2000,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00,5256639,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_BTSX,2000,,,,,,,67.8,67.77811,,,,2020-12-04T17:00:59+01:00,2000-01-01T00:00:00+01:00,2000-12-31T00:00:00+01:00
4539210,SA_0000001476,COUNTRY,SWE,EUR,YEAR,Europe,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_SWE,1.9,1.9,,,,2018-10-25T13:07:01+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,5389225,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_BTSX,2010,,,,,,,71.2,71.18043,,,,2020-12-04T17:03:21+01:00,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4539210,SA_0000001476,COUNTRY,SWE,EUR,YEAR,Europe,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_SWE,1.9,1.9,,,,2018-10-25T13:07:01+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,5389226,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_MLE,2010,,,,,,,70.7,70.66393,,,,2020-12-04T17:03:20+01:00,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4539210,SA_0000001476,COUNTRY,SWE,EUR,YEAR,Europe,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_SWE,1.9,1.9,,,,2018-10-25T13:07:01+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,5389242,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_FMLE,2010,,,,,,,71.7,71.65131,,,,2020-12-04T17:03:21+01:00,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4539202,SA_0000001476,COUNTRY,NLD,EUR,YEAR,Europe,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_NLD,0.7,0.7,,,,2018-10-25T13:07:07+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,5356199,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_FMLE,2010,,,,,,,71.4,71.39034,,,,2020-12-04T17:02:38+01:00,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4539202,SA_0000001476,COUNTRY,NLD,EUR,YEAR,Europe,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_NLD,0.7,0.7,,,,2018-10-25T13:07:07+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,5356204,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_MLE,2010,,,,,,,70.3,70.33172,,,,2020-12-04T17:02:37+01:00,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4539202,SA_0000001476,COUNTRY,NLD,EUR,YEAR,Europe,,,2010,,,,,DATASOURCE,DATASOURCE_SA_0000001476_NLD,0.7,0.7,,,,2018-10-25T13:07:07+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00,5356203,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_BTSX,2010,,,,,,,70.9,70.90195,,,,2020-12-04T17:02:38+01:00,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4539103,SA_0000001476,COUNTRY,ALB,EUR,YEAR,Europe,,,2015,,,,,DATASOURCE,DATASOURCE_SA_0000001476_ALB,1.3,1.3,,,,2018-10-25T13:07:01+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00,5389337,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_BTSX,2015,,,,,,,69.0,69.02539,,,,2020-12-04T16:59:46+01:00,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4539103,SA_0000001476,COUNTRY,ALB,EUR,YEAR,Europe,,,2015,,,,,DATASOURCE,DATASOURCE_SA_0000001476_ALB,1.3,1.3,,,,2018-10-25T13:07:01+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00,5389384,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_MLE,2015,,,,,,,68.0,67.99379,,,,2020-12-04T16:59:46+01:00,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
4539103,SA_0000001476,COUNTRY,ALB,EUR,YEAR,Europe,,,2015,,,,,DATASOURCE,DATASOURCE_SA_0000001476_ALB,1.3,1.3,,,,2018-10-25T13:07:01+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00,5389285,WHOSIS_000002,COUNTRY,YEAR,EUR,Europe,SEX,SEX_FMLE,2015,,,,,,,70.1,70.12115,,,,2020-12-04T16:59:46+01:00,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
