Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,TimeDim,Dim1,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
3187188,SA_0000001398,COUNTRY,IRL,EUR,YEAR,Europe,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_WINE,,,,,,,28,,,,,2018-09-21T08:24:14+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3187320,SA_0000001398,COUNTRY,MHL,WPR,YEAR,Western Pacific,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_WINE,,,,,,,No data,,,,,2018-09-21T08:24:04+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3228448,SA_0000001398,COUNTRY,TZA,AFR,YEAR,Africa,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_BEER,,,,,,,12.2,,,,,2018-09-21T08:24:00+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3228366,SA_0000001398,COUNTRY,SRB,EUR,YEAR,Europe,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_SPIRITS,,,,,,,25.4,,,,,2018-09-21T08:24:10+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3187313,SA_0000001398,COUNTRY,MEX,AMR,YEAR,Americas,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_BEER,,,,,,,77.1,,,,,2018-09-21T08:24:09+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3187255,SA_0000001398,COUNTRY,LAO,WPR,YEAR,Western Pacific,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_SPIRITS,,,,,,,49.8,,,,,2018-09-21T08:24:14+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3148678,SA_0000001398,COUNTRY,BRN,WPR,YEAR,Western Pacific,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_SPIRITS,,,,,,,0,,,,,2018-09-21T08:24:12+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3148765,SA_0000001398,COUNTRY,DMA,AMR,YEAR,Americas,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_OTHER_ALCOHOL,,,,,,,0,,,,,2018-09-21T08:24:15+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3228431,SA_0000001398,COUNTRY,TON,WPR,YEAR,Western Pacific,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_WINE,,,,,,,11.5,,,,,2018-09-21T08:24:01+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3228451,SA_0000001398,COUNTRY,TZA,AFR,YEAR,Africa,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_WINE,,,,,,,0.4,,,,,2018-09-21T08:24:02+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3187286,SA_0000001398,COUNTRY,LUX,EUR,YEAR,Europe,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_OTHER_ALCOHOL,,,,,,,0,,,,,2018-09-21T08:24:13+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3228341,SA_0000001398,COUNTRY,SGP,WPR,YEAR,Western Pacific,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_OTHER_ALCOHOL,,,,,,,2.1,,,,,2018-09-21T08:24:08+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3187388,SA_0000001398,COUNTRY,NLD,EUR,YEAR,Europe,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_WINE,,,,,,,35.8,,,,,2018-09-21T08:24:05+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
3187296,SA_0000001398,COUNTRY,MAR,EMR,YEAR,Eastern Mediterranean,ALCOHOLTYPE,2016,ALCOHOLTYPE_SA_WINE,,,,,,,39.8,,,,,2018-09-21T08:24:15+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
